Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
55 3.7811 0.3973 0.9258 0.8545 0.0713 0.0758 0.0655 0.0102 0.2202 1.0035 0.7833
56 3.8073 0.3714 0.9407 0.8887 0.0521 0.0848 0.0533 0.0315 0.2154 1.0053 0.7899
57 3.9266 0.4010 0.9426 0.8499 0.0927 0.0903 0.0385 0.0518 0.2160 0.8647 0.6487
58 3.4651 0.3660 0.9705 0.8635 0.1070 0.0928 0.0616 0.0312 0.2153 0.8904 0.6752
59 3.8172 0.3687 0.9582 0.8611 0.0971 0.0755 0.0459 0.0296 0.2174 0.9064 0.6890
60 3.8854 0.3789 0.9539 0.8636 0.0902 0.0763 0.0463 0.0299 0.2157 0.8910 0.6753
61 3.9544 0.3716 0.9578 0.8558 0.1020 0.0757 0.0612 0.0145 0.2154 0.9682 0.7528
62 4.0172 0.3541 0.9455 0.8824 0.0631 0.0609 0.0725 0.0116 0.2153 0.9479 0.7326
63 4.1902 0.3120 0.9893 0.8794 0.1100 0.0302 0.0754 0.0452 0.2171 0.9563 0.7392
64 3.9744 0.3539 0.9887 0.8448 0.1438 0.0179 0.0638 0.0459 0.2375 0.9707 0.7332
65 3.9378 0.3740 0.9882 0.8473 0.1409 0.0151 0.0514 0.0363 0.2358 0.9617 0.7260
66 4.2501 0.3805 0.9836 0.8598 0.1238 0.0068 0.0632 0.0564 0.2237 1.0384 0.8147
67 4.2191 0.3555 0.9771 0.8495 0.1276 0.0088 0.0484 0.0396 0.2446 1.0494 0.8047
68 4.1541 0.3659 0.9864 0.8321 0.1543 0.0242 0.0030 0.0212 0.2226 0.9673 0.7448
69 4.1951 0.3525 0.9877 0.8403 0.1474 0.0307 0.0078 0.0230 0.2242 0.8832 0.6590
70 3.9891 0.3200 0.9800 0.8819 0.0981 0.0399 0.0353 0.0046 0.2167 0.9145 0.6978
71 4.0043 0.3532 0.9773 0.8544 0.1229 0.0326 0.0366 0.0040 0.2126 0.9120 0.6994
72 4.1940 0.3501 0.9711 0.8654 0.1057 0.0434 0.0218 0.0216 0.2139 0.9702 0.7563
73 4.0392 0.3248 0.9845 0.8902 0.0944 0.0486 0.0472 0.0013 0.2102 0.9660 0.7558
74 4.2177 0.3880 0.9811 0.8540 0.1271 0.0573 0.0412 0.0162 0.2140 0.9301 0.7161
75 3.6824 0.3809 0.9825 0.8436 0.1389 0.0451 0.0300 0.0150 0.2126 0.9483 0.7356
