Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
55 1.6333 0.1183 0.9258 0.9723 0.0465 0.0758 0.0241 0.0517 0.2202 0.4087 0.1886
56 2.2092 0.1131 0.9407 0.9811 0.0404 0.0848 0.0241 0.0607 0.2154 0.4043 0.1889
57 2.8168 0.1487 0.9426 0.9543 0.0117 0.0903 0.0587 0.0316 0.2160 0.3711 0.1551
58 1.8368 0.1481 0.9705 0.9449 0.0256 0.0928 0.0592 0.0336 0.2153 0.3581 0.1429
59 1.7927 0.1327 0.9582 0.9522 0.0060 0.0755 0.0788 0.0033 0.2174 0.3632 0.1459
60 2.0804 0.1617 0.9539 0.9347 0.0192 0.0763 0.0407 0.0356 0.2157 0.3449 0.1292
61 2.5247 0.1569 0.9578 0.9435 0.0143 0.0757 0.0272 0.0485 0.2154 0.3612 0.1458
62 2.5771 0.1611 0.9455 0.9393 0.0062 0.0609 0.0500 0.0109 0.2153 0.3603 0.1450
63 2.2623 0.1611 0.9893 0.9217 0.0676 0.0302 0.0386 0.0084 0.2171 0.3874 0.1703
64 2.7212 0.1517 0.9887 0.9401 0.0486 0.0179 0.0473 0.0294 0.2375 0.3924 0.1549
65 2.1856 0.1458 0.9882 0.9401 0.0481 0.0151 0.0378 0.0228 0.2358 0.3932 0.1574
66 2.8536 0.1238 0.9836 0.9426 0.0411 0.0068 0.0316 0.0248 0.2237 0.4056 0.1819
67 2.5075 0.1479 0.9771 0.9338 0.0433 0.0088 0.0582 0.0494 0.2446 0.4064 0.1617
68 2.5862 0.1252 0.9864 0.9615 0.0249 0.0242 0.0529 0.0288 0.2226 0.3649 0.1423
69 3.2841 0.1755 0.9877 0.9172 0.0705 0.0307 0.0307 0.0000 0.2242 0.3412 0.1170
70 3.0026 0.1397 0.9800 0.9532 0.0268 0.0399 0.0284 0.0115 0.2167 0.3392 0.1225
71 2.4524 0.1766 0.9773 0.9174 0.0599 0.0326 0.0525 0.0199 0.2126 0.3389 0.1263
72 2.0699 0.1685 0.9711 0.9532 0.0179 0.0434 0.0162 0.0272 0.2139 0.3683 0.1544
73 2.1671 0.1307 0.9845 0.9528 0.0317 0.0486 0.0358 0.0127 0.2102 0.3451 0.1349
74 2.6176 0.1569 0.9811 0.9359 0.0452 0.0573 0.0423 0.0150 0.2140 0.3154 0.1014
75 2.0489 0.1458 0.9825 0.9358 0.0467 0.0451 0.0695 0.0244 0.2126 0.3149 0.1023
76 2.7970 0.1057 0.9832 0.9714 0.0118 0.0484 0.0432 0.0052 0.2081 0.3108 0.1027
77 2.3514 0.1116 0.9742 0.9622 0.0120 0.0502 0.0651 0.0149 0.2055 0.3098 0.1044
78 2.7588 0.1050 0.9692 0.9713 0.0021 0.0249 0.0488 0.0238 0.1928 0.2958 0.1030
79 1.8719 0.1125 0.9741 0.9536 0.0205 0.0310 0.0814 0.0505 0.1920 0.2930 0.1010
80 1.7289 0.1204 0.9721 0.9627 0.0093 0.0354 0.0829 0.0475 0.1840 0.3165 0.1325
81 1.7676 0.1331 0.9381 0.9539 0.0158 0.0559 0.0682 0.0123 0.1849 0.2977 0.1128
82 2.2873 0.1146 0.9381 0.9719 0.0338 0.0535 0.0635 0.0100 0.1760 0.2959 0.1199
83 2.0213 0.1662 0.9768 0.9185 0.0583 0.0229 0.0401 0.0172 0.2101 0.2885 0.0784
84 2.7403 0.0980 0.9697 0.9811 0.0114 0.0167 0.0587 0.0420 0.1954 0.3047 0.1093
85 2.3198 0.1432 0.9592 0.9544 0.0048 0.0347 0.0468 0.0121 0.1923 0.3085 0.1162
86 2.5113 0.1445 0.9645 0.9634 0.0011 0.0376 0.0442 0.0067 0.1855 0.3123 0.1268
87 1.6416 0.1680 0.9632 0.9547 0.0084 0.0593 0.0545 0.0048 0.1869 0.3216 0.1347
88 1.9902 0.1347 0.9662 0.9726 0.0065 0.0553 0.0373 0.0181 0.2024 0.3228 0.1205
89 2.3019 0.1240 0.9688 0.9549 0.0139 0.0072 0.0262 0.0190 0.1939 0.3463 0.1524
90 2.0809 0.1130 0.9624 0.9726 0.0102 0.0051 0.0371 0.0320 0.2002 0.3527 0.1525
91 2.3675 0.1189 0.9589 0.9727 0.0138 0.0079 0.0287 0.0208 0.1926 0.3519 0.1593
92 2.2627 0.1444 0.9526 0.9458 0.0068 0.0112 0.0103 0.0009 0.1866 0.3272 0.1405
93 1.7181 0.1470 0.9612 0.9546 0.0066 0.0176 0.0222 0.0046 0.2170 0.3199 0.1030
94 1.8038 0.1230 0.9704 0.9632 0.0073 0.0149 0.0106 0.0043 0.2142 0.3144 0.1001
95 2.3691 0.1266 0.9727 0.9541 0.0185 0.0220 0.0216 0.0004 0.2142 0.3172 0.1030
96 1.9174 0.1162 0.9764 0.9721 0.0043 0.0234 0.0282 0.0047 0.2141 0.3193 0.1052
97 2.3631 0.0986 0.9724 0.9810 0.0086 0.0386 0.0271 0.0115 0.2032 0.3647 0.1616
98 2.2590 0.1148 0.9749 0.9720 0.0028 0.0647 0.0227 0.0420 0.2003 0.3772 0.1770
99 2.5371 0.1432 0.9827 0.9454 0.0373 0.0714 0.0121 0.0594 0.2003 0.3265 0.1262
100 2.3551 0.1339 0.9774 0.9543 0.0231 0.0684 0.0187 0.0498 0.1937 0.3234 0.1297
