Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
55 1.0510 1.2462 0.7749 0.0280 0.7469 0.0023 0.0081 0.0058 0.2977 0.6743 0.3766
56 1.0549 1.2233 0.7876 0.0299 0.7577 0.0023 0.0040 0.0018 0.2983 0.7654 0.4671
57 1.0760 1.2317 0.7901 0.0312 0.7589 0.0025 0.0007 0.0018 0.2954 0.8441 0.5487
58 1.0953 1.2388 0.7853 0.0333 0.7521 0.0018 0.0015 0.0002 0.2867 0.7477 0.4610
59 1.0728 1.2259 0.7826 0.0453 0.7373 0.0011 0.0031 0.0020 0.3281 0.7567 0.4286
60 1.0873 1.2145 0.7783 0.0497 0.7286 0.0091 0.0056 0.0035 0.2960 0.6944 0.3984
61 1.0358 1.2322 0.7768 0.0226 0.7541 0.0074 0.0029 0.0045 0.2894 0.6993 0.4100
62 1.0268 1.2548 0.7708 0.0117 0.7592 0.0001 0.0010 0.0009 0.2934 0.2235 0.0699
63 0.9697 1.2605 0.7684 0.0027 0.7658 0.0040 0.0061 0.0021 0.2953 0.6905 0.3952
64 0.9862 1.2522 0.7698 0.0143 0.7555 0.0083 0.0006 0.0077 0.2970 0.6615 0.3644
65 1.0417 1.2329 0.7598 0.0277 0.7321 0.0030 0.0151 0.0122 0.2731 0.5131 0.2400
66 1.0272 1.2279 0.7652 0.0268 0.7384 0.0087 0.0032 0.0056 0.3908 0.7275 0.3366
67 0.9890 1.2085 0.7493 0.0339 0.7154 0.0113 0.0138 0.0025 0.3510 0.6424 0.2914
68 1.0425 1.2223 0.7463 0.0310 0.7154 0.0165 0.0193 0.0028 0.3509 0.6468 0.2959
69 1.0507 1.2330 0.7361 0.0437 0.6924 0.0118 0.0017 0.0100 0.2751 0.6443 0.3692
70 1.0501 1.2284 0.7288 0.0435 0.6853 0.0136 0.0157 0.0021 0.3494 0.2270 0.1224
71 1.0547 1.2442 0.7259 0.0413 0.6846 0.0013 0.0198 0.0185 0.2983 0.6682 0.3699
72 1.0464 1.2456 0.7261 0.0253 0.7009 0.0080 0.0126 0.0045 0.3479 0.7181 0.3701
73 1.0733 1.2496 0.7202 0.0259 0.6943 0.0150 0.0091 0.0059 0.3339 0.7731 0.4392
74 1.1157 1.2422 0.7081 0.0267 0.6814 0.0040 0.0026 0.0014 0.3392 0.7592 0.4199
75 1.1392 1.2482 0.6999 0.0457 0.6542 0.0053 0.0021 0.0032 0.3733 0.6384 0.2651
76 1.1872 1.2482 0.7186 0.0490 0.6697 0.0022 0.0088 0.0066 0.5374 0.6383 0.1010
77 1.1705 1.2149 0.7217 0.0697 0.6520 0.0159 0.0121 0.0038 0.3455 0.6530 0.3075
78 1.1371 1.2078 0.7446 0.0485 0.6961 0.0116 0.0079 0.0037 0.2778 0.6374 0.3596
79 1.1843 1.2367 0.7383 0.0400 0.6983 0.0050 0.0048 0.0003 0.2766 0.6456 0.3690
80 1.1674 1.2486 0.7418 0.0244 0.7174 0.0029 0.0147 0.0118 0.4248 0.9651 0.5403
81 1.1387 1.2508 0.7342 0.0163 0.7179 0.0104 0.0140 0.0036 0.5223 0.6429 0.1206
82 1.1125 1.2302 0.7294 0.0398 0.6896 0.0204 0.0018 0.0186 0.2914 0.5267 0.2353
83 1.1218 1.2205 0.7288 0.0529 0.6759 0.0190 0.0054 0.0137 0.3688 0.6406 0.2718
84 1.1323 1.2203 0.7294 0.0557 0.6737 0.0195 0.0136 0.0058 0.3685 0.6402 0.2717
85 1.1565 1.2064 0.7160 0.0438 0.6721 0.0326 0.0155 0.0171 0.3757 0.6422 0.2665
86 1.1536 1.2387 0.7143 0.0237 0.6906 0.0248 0.0239 0.0009 0.3012 0.6450 0.3437
87 1.1804 1.2435 0.7144 0.0249 0.6895 0.0224 0.0139 0.0084 0.2991 0.6460 0.3469
88 1.2023 1.2309 0.7170 0.0432 0.6738 0.0240 0.0104 0.0136 0.3018 0.6526 0.3508
89 1.2069 1.2237 0.7225 0.0490 0.6735 0.0196 0.0053 0.0143 0.3452 0.6969 0.3517
90 1.2630 1.2381 0.7289 0.0287 0.7001 0.0185 0.0101 0.0084 0.2932 0.7637 0.4705
91 1.2395 1.2367 0.7265 0.0425 0.6840 0.0211 0.0010 0.0201 0.3515 0.6566 0.3051
92 1.2337 1.2462 0.7409 0.0297 0.7113 0.0221 0.0078 0.0142 0.3516 0.9037 0.5521
93 1.2714 1.2292 0.7410 0.0464 0.6947 0.0179 0.0020 0.0159 0.3546 0.6442 0.2896
94 1.2090 1.2557 0.7411 0.0204 0.7207 0.0103 0.0014 0.0090 0.3432 0.4518 0.1086
95 1.1677 1.2651 0.7364 0.0137 0.7227 0.0086 0.0294 0.0208 0.3652 0.6497 0.2845
96 1.2165 1.2332 0.7368 0.0663 0.6705 0.0068 0.0256 0.0188 0.3651 0.6477 0.2826
97 1.2502 1.2562 0.7329 0.0382 0.6947 0.0006 0.0060 0.0054 0.3481 0.6462 0.2981
98 1.3062 1.2598 0.7144 0.0349 0.6795 0.0071 0.0157 0.0086 0.3340 0.6479 0.3139
99 1.3127 1.2291 0.6998 0.0496 0.6503 0.0076 0.0034 0.0042 0.3325 0.3309 0.0016
100 1.2949 1.2310 0.7052 0.0457 0.6595 0.0091 0.0119 0.0028 0.3642 0.6476 0.2833
