Frame DensityError VelocityError TargetPolarization SimulatedPolarization PolarizationError TargetAngularMomentum SimulatedAngularMomentum AngularMomentumError TargetAspectRatio SimulatedAspectRatio AspectRatioError
55 0.8282 0.3977 0.7749 0.9313 0.1564 0.0023 0.0170 0.0147 0.2977 0.6236 0.3259
56 0.8227 0.3930 0.7876 0.9309 0.1434 0.0023 0.0169 0.0146 0.2983 0.6236 0.3253
57 0.8312 0.3970 0.7901 0.9305 0.1404 0.0025 0.0171 0.0145 0.2954 0.6241 0.3287
58 0.8747 0.3950 0.7853 0.9314 0.1460 0.0018 0.0171 0.0153 0.2867 0.6244 0.3377
59 0.8265 0.3980 0.7826 0.9299 0.1473 0.0011 0.0193 0.0183 0.3281 0.6247 0.2965
60 0.8320 0.3944 0.7783 0.9301 0.1518 0.0091 0.0178 0.0087 0.2960 0.6249 0.3289
61 0.8028 0.4050 0.7768 0.9269 0.1501 0.0074 0.0178 0.0104 0.2894 0.6249 0.3355
62 0.8067 0.3974 0.7708 0.9290 0.1581 0.0001 0.0191 0.0190 0.2934 0.6253 0.3318
63 0.7917 0.3988 0.7684 0.9296 0.1612 0.0040 0.0193 0.0153 0.2953 0.6255 0.3302
64 0.8242 0.3882 0.7698 0.9300 0.1602 0.0083 0.0206 0.0123 0.2970 0.6257 0.3287
65 0.8543 0.3966 0.7598 0.9286 0.1688 0.0030 0.0233 0.0203 0.2731 0.6262 0.3531
66 0.8302 0.4037 0.7652 0.9279 0.1627 0.0087 0.0197 0.0109 0.3908 0.6263 0.2355
67 0.8239 0.4086 0.7493 0.9268 0.1775 0.0113 0.0192 0.0080 0.3510 0.6264 0.2754
68 0.8429 0.4107 0.7463 0.9250 0.1787 0.0165 0.0198 0.0033 0.3509 0.6267 0.2758
69 0.8736 0.4210 0.7361 0.9252 0.1890 0.0118 0.0203 0.0085 0.2751 0.6269 0.3518
70 0.8990 0.4245 0.7288 0.9251 0.1963 0.0136 0.0196 0.0060 0.3494 0.6274 0.2780
71 0.8622 0.4459 0.7259 0.9249 0.1991 0.0013 0.0220 0.0207 0.2983 0.6276 0.3293
72 0.8733 0.4433 0.7261 0.9250 0.1989 0.0080 0.0204 0.0124 0.3479 0.6277 0.2798
